Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,44,"Lewis
Hamilton
HAM",Mercedes,1:36.828,1:35.693,1:34.794,19,
,2,77,"Valtteri
Bottas
BOT",Mercedes,1:36.789,1:36.392,1:34.956,19,
,3,5,"Sebastian
Vettel
VET",Ferrari,1:36.775,1:36.345,1:35.125,18,
,4,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:37.010,1:36.735,1:35.365,18,
,5,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:37.117,1:36.964,1:35.401,16,
,6,33,"Max
Verstappen
VER",RedBull Racing,1:37.195,1:36.144,1:35.589,14,
,7,8,"Romain
Grosjean
GRO",Haas,1:37.575,1:36.732,1:36.192,15,
,8,16,"Charles
Leclerc
LEC",Alfa Romeo,1:37.124,1:36.580,1:36.237,20,
,9,31,"Esteban
Ocon
OCO",Aston Martin,1:36.936,1:36.814,1:36.540,18,
,10,27,"Nico
Hulkenberg
HUL",Alpine,1:37.569,1:36.630,1:36.542,15,
,11,55,"Carlos
Sainz
SAI",Alpine,1:37.757,1:36.982,,9,
,12,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:37.619,1:37.132,,14,
,13,20,"Kevin
Magnussen
MAG",Haas,1:37.934,1:37.309,,12,
,14,11,"Sergio
Perez
PER",Aston Martin,1:37.255,1:37.541,,12,
,15,14,"Fernando
Alonso
ALO",McLaren,1:37.890,1:37.743,,15,
,16,28,"Brendon
Hartley
HAR",AlphaTauri,1:37.994,,,9,
,17,10,"Pierre
Gasly
GAS",AlphaTauri,1:38.166,,,9,
,18,2,"Stoffel
Vandoorne
VAN",McLaren,1:38.577,,,9,
,19,35,"Sergey
Sirotkin
SIR",Williams,1:38.635,,,6,
