Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,44,"Lewis
Hamilton
HAM",Mercedes,1:39.403,1:37.344,1:36.015,17,
,2,33,"Max
Verstappen
VER",RedBull Racing,1:38.751,1:37.214,1:36.334,14,
,3,5,"Sebastian
Vettel
VET",Ferrari,1:38.218,1:37.876,1:36.628,17,
,4,77,"Valtteri
Bottas
BOT",Mercedes,1:39.291,1:37.254,1:36.702,20,
,5,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:38.534,1:37.194,1:36.794,17,
,6,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:38.153,1:37.406,1:36.996,12,
,7,11,"Sergio
Perez
PER",Aston Martin,1:38.814,1:38.342,1:37.985,19,
,8,8,"Romain
Grosjean
GRO",Haas,1:38.685,1:38.367,1:38.320,15,
,9,31,"Esteban
Ocon
OCO",Aston Martin,1:38.912,1:38.534,1:38.365,20,
,10,27,"Nico
Hulkenberg
HUL",Alpine,1:38.932,1:38.450,1:38.588,18,
,11,14,"Fernando
Alonso
ALO",McLaren,1:39.022,1:38.641,,12,
,12,55,"Carlos
Sainz
SAI",Alpine,1:39.103,1:38.716,,12,
,13,16,"Charles
Leclerc
LEC",Alfa Romeo,1:39.206,1:38.747,,14,
,14,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:39.366,1:39.453,,14,
,15,10,"Pierre
Gasly
GAS",AlphaTauri,1:39.614,1:39.691,,13,
,16,20,"Kevin
Magnussen
MAG",Haas,1:39.644,,,6,
,17,28,"Brendon
Hartley
HAR",AlphaTauri,1:39.809,,,8,
,18,2,"Stoffel
Vandoorne
VAN",McLaren,1:39.864,,,8,
,19,35,"Sergey
Sirotkin
SIR",Williams,1:41.263,,,8,
